date,python,django,go,jaahfhaj,isPartial
2015-07-05,1,0,23,0,False
2015-07-12,2,0,22,0,False
2015-07-19,2,0,22,0,False
2015-07-26,2,0,22,0,False
2015-08-02,2,0,22,0,False
2015-08-09,2,0,21,0,False
2015-08-16,2,0,21,0,False
2015-08-23,2,0,21,0,False
2015-08-30,2,0,21,0,False
2015-09-06,2,0,22,0,False
2015-09-13,2,0,23,0,False
2015-09-20,2,0,23,0,False
2015-09-27,2,0,22,0,False
2015-10-04,1,0,22,0,False
2015-10-11,2,0,21,0,False
2015-10-18,2,0,21,0,False
2015-10-25,2,0,21,0,False
2015-11-01,2,0,21,0,False
2015-11-08,2,0,20,0,False
2015-11-15,2,0,21,0,False
2015-11-22,2,0,21,0,False
2015-11-29,2,0,21,0,False
2015-12-06,2,0,22,0,False
2015-12-13,2,0,21,0,False
2015-12-20,1,0,22,0,False
2015-12-27,1,1,23,0,False
2016-01-03,1,1,22,0,False
2016-01-10,1,0,21,0,False
2016-01-17,2,1,21,0,False
2016-01-24,2,0,21,0,False
2016-01-31,2,0,21,0,False
2016-02-07,2,0,21,0,False
2016-02-14,2,1,21,0,False
2016-02-21,2,0,21,0,False
2016-02-28,2,0,22,0,False
2016-03-06,2,0,22,0,False
2016-03-13,2,0,21,0,False
2016-03-20,2,0,21,0,False
2016-03-27,2,0,22,0,False
2016-04-03,2,0,22,0,False
2016-04-10,2,0,22,0,False
2016-04-17,2,0,21,0,False
2016-04-24,2,0,22,0,False
2016-05-01,2,0,21,0,False
2016-05-08,2,0,21,0,False
2016-05-15,2,0,21,0,False
2016-05-22,2,0,20,0,False
2016-05-29,2,0,21,0,False
2016-06-05,2,0,20,0,False
2016-06-12,2,0,21,0,False
2016-06-19,2,0,21,0,False
2016-06-26,2,0,22,0,False
2016-07-03,2,0,57,0,False
2016-07-10,2,0,100,0,False
2016-07-17,2,0,69,0,False
2016-07-24,2,0,55,0,False
2016-07-31,2,0,49,0,False
2016-08-07,2,0,38,0,False
2016-08-14,2,0,34,0,False
2016-08-21,2,0,34,0,False
2016-08-28,2,0,30,0,False
2016-09-04,2,0,29,0,False
2016-09-11,2,0,29,0,False
2016-09-18,2,0,28,0,False
2016-09-25,2,0,28,0,False
2016-10-02,2,0,27,0,False
2016-10-09,2,0,25,0,False
2016-10-16,2,0,23,0,False
2016-10-23,2,0,25,0,False
2016-10-30,2,0,25,0,False
2016-11-06,2,0,24,0,False
2016-11-13,2,0,23,0,False
2016-11-20,2,0,25,0,False
2016-11-27,2,0,24,0,False
2016-12-04,2,0,23,0,False
2016-12-11,2,0,25,0,False
2016-12-18,2,0,24,0,False
2016-12-25,1,0,26,0,False
2017-01-01,2,0,26,0,False
2017-01-08,2,1,24,0,False
2017-01-15,2,0,24,0,False
2017-01-22,2,0,23,0,False
2017-01-29,2,0,23,0,False
2017-02-05,2,1,23,0,False
2017-02-12,2,0,24,0,False
2017-02-19,2,0,25,0,False
2017-02-26,3,0,24,0,False
2017-03-05,2,0,24,0,False
2017-03-12,3,0,23,0,False
2017-03-19,3,0,22,0,False
2017-03-26,3,0,23,0,False
2017-04-02,3,0,23,0,False
2017-04-09,3,0,24,0,False
2017-04-16,2,0,23,0,False
2017-04-23,3,0,23,0,False
2017-04-30,3,0,23,0,False
2017-05-07,3,0,23,0,False
2017-05-14,2,0,22,0,False
2017-05-21,3,0,23,0,False
2017-05-28,2,0,22,0,False
2017-06-04,2,0,23,0,False
2017-06-11,2,0,23,0,False
2017-06-18,2,0,24,0,False
2017-06-25,2,0,25,0,False
2017-07-02,2,0,25,0,False
2017-07-09,2,0,24,0,False
2017-07-16,2,0,25,0,False
2017-07-23,2,0,26,0,False
2017-07-30,3,0,24,0,False
2017-08-06,3,0,24,0,False
2017-08-13,3,0,24,0,False
2017-08-20,3,0,23,0,False
2017-08-27,3,0,24,0,False
2017-09-03,3,0,23,0,False
2017-09-10,3,0,23,0,False
2017-09-17,3,0,23,0,False
2017-09-24,2,0,24,0,False
2017-10-01,2,0,23,0,False
2017-10-08,3,0,22,0,False
2017-10-15,3,0,23,0,False
2017-10-22,2,0,23,0,False
2017-10-29,2,0,22,0,False
2017-11-05,2,0,22,0,False
2017-11-12,2,0,22,0,False
2017-11-19,2,1,22,0,False
2017-11-26,2,0,23,0,False
2017-12-03,2,0,23,0,False
2017-12-10,2,0,23,0,False
2017-12-17,2,0,23,0,False
2017-12-24,2,0,24,0,False
2017-12-31,2,0,24,0,False
2018-01-07,2,0,24,0,False
2018-01-14,2,0,23,0,False
2018-01-21,2,0,24,0,False
2018-01-28,2,0,23,0,False
2018-02-04,2,0,22,0,False
2018-02-11,2,0,22,0,False
2018-02-18,2,0,23,0,False
2018-02-25,3,0,23,0,False
2018-03-04,3,0,22,0,False
2018-03-11,3,0,21,0,False
2018-03-18,3,0,22,0,False
2018-03-25,3,0,23,0,False
2018-04-01,3,0,23,0,False
2018-04-08,3,0,23,0,False
2018-04-15,3,0,23,0,False
2018-04-22,3,0,22,0,False
2018-04-29,3,0,22,0,False
2018-05-06,3,0,21,0,False
2018-05-13,3,0,21,0,False
2018-05-20,3,0,22,0,False
2018-05-27,3,0,22,0,False
2018-06-03,3,0,23,0,False
2018-06-10,3,0,23,0,False
2018-06-17,3,0,23,0,False
2018-06-24,2,0,23,0,False
2018-07-01,2,0,24,0,False
2018-07-08,2,0,24,0,False
2018-07-15,3,0,25,0,False
2018-07-22,3,0,23,0,False
2018-07-29,3,0,23,0,False
2018-08-05,3,0,23,0,False
2018-08-12,3,0,23,0,False
2018-08-19,3,0,23,0,False
2018-08-26,3,0,23,0,False
2018-09-02,3,0,23,0,False
2018-09-09,3,0,23,0,False
2018-09-16,3,0,23,0,False
2018-09-23,3,0,23,0,False
2018-09-30,3,0,24,0,False
2018-10-07,3,0,22,0,False
2018-10-14,3,0,23,0,False
2018-10-21,3,0,23,0,False
2018-10-28,3,0,22,0,False
2018-11-04,2,0,23,0,False
2018-11-11,2,0,27,0,False
2018-11-18,2,0,30,0,False
2018-11-25,3,0,27,0,False
2018-12-02,3,0,26,0,False
2018-12-09,2,0,24,0,False
2018-12-16,2,0,24,0,False
2018-12-23,2,0,28,0,False
2018-12-30,2,0,27,0,False
2019-01-06,2,0,25,0,False
2019-01-13,3,0,24,0,False
2019-01-20,2,0,23,0,False
2019-01-27,2,0,24,0,False
2019-02-03,2,0,22,0,False
2019-02-10,3,0,22,0,False
2019-02-17,3,0,23,0,False
2019-02-24,3,0,23,0,False
2019-03-03,3,0,22,0,False
2019-03-10,3,0,22,0,False
2019-03-17,3,0,23,0,False
2019-03-24,4,0,23,0,False
2019-03-31,3,0,23,0,False
2019-04-07,4,0,23,0,False
2019-04-14,3,0,24,0,False
2019-04-21,3,0,24,0,False
2019-04-28,3,0,23,0,False
2019-05-05,3,0,23,0,False
2019-05-12,3,0,23,0,False
2019-05-19,4,0,24,0,False
2019-05-26,3,0,22,0,False
2019-06-02,3,0,23,0,False
2019-06-09,3,0,23,0,False
2019-06-16,3,0,25,0,False
2019-06-23,3,0,26,0,False
2019-06-30,3,0,24,0,False
2019-07-07,3,0,23,0,False
2019-07-14,3,1,23,0,False
2019-07-21,3,0,23,0,False
2019-07-28,3,0,24,0,False
2019-08-04,3,0,23,0,False
2019-08-11,3,0,23,0,False
2019-08-18,4,0,24,0,False
2019-08-25,4,0,23,0,False
2019-09-01,4,0,23,0,False
2019-09-08,3,0,23,0,False
2019-09-15,3,0,27,0,False
2019-09-22,3,0,24,0,False
2019-09-29,3,0,24,0,False
2019-10-06,3,0,23,0,False
2019-10-13,4,0,23,0,False
2019-10-20,3,1,23,0,False
2019-10-27,3,0,23,0,False
2019-11-03,3,0,22,0,False
2019-11-10,3,0,23,0,False
2019-11-17,3,0,23,0,False
2019-11-24,3,0,22,0,False
2019-12-01,3,0,23,0,False
2019-12-08,3,0,22,0,False
2019-12-15,3,0,22,0,False
2019-12-22,2,0,24,0,False
2019-12-29,2,0,23,0,False
2020-01-05,2,0,24,0,False
2020-01-12,3,0,24,0,False
2020-01-19,3,0,23,0,False
2020-01-26,2,0,23,0,False
2020-02-02,3,0,23,0,False
2020-02-09,3,0,23,0,False
2020-02-16,3,0,23,0,False
2020-02-23,3,0,23,0,False
2020-03-01,3,0,23,0,False
2020-03-08,3,0,24,0,False
2020-03-15,3,0,26,0,False
2020-03-22,3,0,26,0,False
2020-03-29,3,0,28,0,False
2020-04-05,3,0,27,0,False
2020-04-12,4,0,26,0,False
2020-04-19,4,0,24,0,False
2020-04-26,4,0,24,0,False
2020-05-03,3,0,24,0,False
2020-05-10,4,0,24,0,False
2020-05-17,4,0,25,0,False
2020-05-24,4,0,24,0,False
2020-05-31,3,0,23,0,False
2020-06-07,3,0,23,0,False
2020-06-14,3,0,23,0,False
2020-06-21,3,1,23,0,True
